animationScales,syntax,globals,output,toolbox,defines,textgoal,goal,board,fade
{},[],{},[],[ '__unlimited;removeFirst'],['function count(a) {return (a == []) ? 0 : count(remove_first(a)) + 1}'],This function can count the number of items in a list.,['4'],"['function remove_first(a) {return length(a) < 2 ? [] : slice(a, 1, length(a));}', 'function count(a) {return (a == []) ? 0 : count(remove_first(a)) + 1;}', 'count', ['star', 'star', 'star', 'star']]",[{}]
{},[],{},[],"['remove_first', 'count', '0', '[]', '[]', '['star']']",,Can you count a list of 0 items?,['0'],['function count(a) {return (a == _) ? _ : count(remove_first(a)) + 1}'],[{}]
{},[],{},[],"['remove_first(a)', '1', 'count', '['rect', 'rect', 'rect']']",,Let's count 3 squares,['3'],"['count', 'function count(a) {return (a == []) ? 0 : count(_ + _}']",[{}]
{},[],{},[],"['remove_first', '1', 'count', '['star', 'rect', 'star', 'triangle']', 'a']",,Let's count a mixed list.,['4'],"['count', 'function count(a) {return (a == _) ? _ : _ + _}']",[{}]
{},[],{},[],"['star', 'rect', '['star', 'rect', 'star', 'star']']","['function count_target(a, target) {(a == []) ? 0 : (first(a) == target) ? count_target(remove_first(a), target) + 1:count_target(remove_first(a), target)}']",Make this function only count the stars in the list.,['3'],"['function count_target(a, target) {(a == []) ? 0 : (first(a) == target) ? count_target(remove_first(a), target) + 1: count_target(remove_first(a),target)}', 'count_target']",[{}]
{},[],{},[],"['star', 'rect', '0', '1', '[]', '[]', 'a']",,Count a list of 0 items.,['0'],"['function count_target(a, target) {(_ == _) ? _ : (first(a) == target) ? count_target(remove_first(a), target) + 1: count_target(remove_first(a),target)}', 'count_target']",[{}]
{},[],{},[],"['first', 'remove_first', 'a', 'target', '['rect', 'star', 'star']', 'rect']",,Let's only count squares!,['1'],"['function count_target(a, target) {(a == []) ? 0 : (_ == _) ? count_target(remove_first(a), target) + 1: count_target(remove_first(a),target)}', 'count_target']",[{}]
{},[],{},[],"['first', 'remove_first', '0', '1', 'a', 'target', 'count_target', 'target']",,Can you count 4 stars?,['4'],"['function count_target(a, target) {(a == []) ? 0 : (first(a) == target) ? _ + _ : count_target(remove_first(a), target)}', '['star', 'star', 'star', 'star'], 'star', 'count_target']",[{}]
{},[],{},[],"['0', '1', 'target', 'a', 'target', 'remove_first', 'first', 'count_target']",,Can you count only stars? ,['2'],"['function count_target(a, target) {(a == []) ? 0 : (first(a) == target) ? count_target(remove_first(a), target) + 1: _}', 'count_target', '['star', 'rect', 'star', 'rect'], 'star']",[{}]
{},[],{},[],"['0', '1', '__unlimited; target', '__unlimited; remove_first', '__unlimited; first', '__unlimited; a', '__unlimited; count_target']",,Let's count a mixed list!,['1'],"['function count_target(a, target) {(a == []) ? 0 : (_ == _) ? _ + _: _}', 'star', '['star', 'rect', 'triangle', 'rect'], 'count_target']",[{}]
{},[],{},[],"['0', '1', '__unlimited; target', '__unlimited; remove_first', '__unlimited; first', '__unlimited; a', '__unlimited; count_target', '[]']",,Can you fill out the whole function?,['2'],"['function count_target(a, target) {(_ == _) ? _ : (_ == _) ? _ + _:_}', 'triangle', '['triangle', 'rect', 'triangle', 'star', 'star'], 'count_target']",[{}]
